x,y,z,n1,n2,n3
3,2.75,5,-0.33,0.88,-0.33
2,2.375,5,0.34,-0.91,0.23
2,2.625,6,0.34,-0.91,0.23
3,2.75,5,0.34,-0.91,0.23
2,2.625,6,0.0,0.99,0.12
3,2.75,5,0.0,0.99,0.12
3,2.625,6,0.0,0.99,0.12
2,2.625,6,0.0,-0.75,-0.66
2,1.75,7,0.0,-0.75,-0.66
3,2.625,6,0.0,-0.75,-0.66
2,1.75,7,-0.74,0.66,-0.16
3,2.625,6,-0.74,0.66,-0.16
3,2.875,7,-0.74,0.66,-0.16
2,1.75,7,0.75,-0.66,0.0
2,1.75,8,0.75,-0.66,0.0
3,2.875,7,0.75,-0.66,0.0
2,1.75,8,-0.09,0.7,0.7
3,2.875,7,-0.09,0.7,0.7
3,1.875,8,-0.09,0.7,0.7
2,1.75,8,0.12,-0.99,0.0
2,1.75,9,0.12,-0.99,0.0
3,1.875,8,0.12,-0.99,0.0
2,1.75,9,-0.49,0.78,-0.39
3,1.875,8,-0.49,0.78,-0.39
3,2.375,9,-0.49,0.78,-0.39
2,1.75,9,0.49,-0.78,0.39
2,2.25,10,0.49,-0.78,0.39
3,2.375,9,0.49,-0.78,0.39
2,2.25,10,0.23,0.91,0.34
3,2.375,9,0.23,0.91,0.34
3,2.0,10,0.23,0.91,0.34
2,2.25,10,-0.23,-0.91,-0.34
2,1.875,11,-0.23,-0.91,-0.34
3,2.0,10,-0.23,-0.91,-0.34
2,1.875,11,-0.6,0.6,-0.53
3,2.0,10,-0.6,0.6,-0.53
3,2.875,11,-0.6,0.6,-0.53
2,1.875,11,0.7,-0.7,0.17
2,2.125,12,0.7,-0.7,0.17
3,2.875,11,0.7,-0.7,0.17
2,2.125,12,-0.11,0.84,0.53
3,2.875,11,-0.11,0.84,0.53
3,2.25,12,-0.11,0.84,0.53
2,2.125,12,0.12,-0.96,-0.24
2,1.875,13,0.12,-0.96,-0.24
3,2.25,12,0.12,-0.96,-0.24
2,1.875,13,0.11,0.89,0.44
3,2.25,12,0.11,0.89,0.44
3,1.75,13,0.11,0.89,0.44
2,1.875,13,-0.09,-0.7,0.7
2,2.875,14,-0.09,-0.7,0.7
3,1.75,13,-0.09,-0.7,0.7
2,2.875,14,0.09,0.7,-0.7
3,1.75,13,0.09,0.7,-0.7
3,2.75,14,0.09,0.7,-0.7
2,2.875,14,-0.12,-0.96,-0.24
2,2.625,15,-0.12,-0.96,-0.24
3,2.75,14,-0.12,-0.96,-0.24
2,2.625,15,0.39,0.78,0.49
3,2.75,14,0.39,0.78,0.49
3,2.125,15,0.39,0.78,0.49
2,2.625,15,-0.33,-0.67,0.67
2,3.625,16,-0.33,-0.67,0.67
3,2.125,15,-0.33,-0.67,0.67
2,3.625,16,0.67,0.67,-0.33
3,2.125,15,0.67,0.67,-0.33
3,2.625,16,0.67,0.67,-0.33
2,3.625,16,-0.55,-0.55,-0.62
2,2.5,17,-0.55,-0.55,-0.62
3,2.625,16,-0.55,-0.55,-0.62
2,2.5,17,0.53,0.6,0.6
3,2.625,16,0.53,0.6,0.6
3,1.625,17,0.53,0.6,0.6
2,2.5,17,-0.63,-0.72,0.27
2,2.875,18,-0.63,-0.72,0.27
3,1.625,17,-0.63,-0.72,0.27
2,2.875,18,0.08,0.66,-0.74
3,1.625,17,0.08,0.66,-0.74
3,2.75,18,0.08,0.66,-0.74
2,2.875,18,-0.12,-0.96,-0.24
2,2.625,19,-0.12,-0.96,-0.24
3,2.75,18,-0.12,-0.96,-0.24
2,2.625,19,0.23,0.91,0.34
3,2.75,18,0.23,0.91,0.34
3,2.375,19,0.23,0.91,0.34
2,2.625,19,-0.23,-0.91,0.34
2,3.0,20,-0.23,-0.91,0.34
3,2.375,19,-0.23,-0.91,0.34
2,3.0,20,0.23,0.91,-0.34
3,2.375,19,0.23,0.91,-0.34
3,2.75,20,0.23,0.91,-0.34
2,3.0,20,-0.24,-0.94,-0.24
2,2.75,21,-0.24,-0.94,-0.24
3,2.75,20,-0.24,-0.94,-0.24
2,2.75,21,0.41,0.82,0.41
3,2.75,20,0.41,0.82,0.41
3,2.25,21,0.41,0.82,0.41
2,2.75,21,-0.44,-0.89,0.11
2,2.875,22,-0.44,-0.89,0.11
3,2.25,21,-0.44,-0.89,0.11
2,2.875,22,0.53,0.85,-0.0
3,2.25,21,0.53,0.85,-0.0
3,2.25,22,0.53,0.85,-0.0
2,2.875,22,-0.51,-0.81,-0.3
2,2.5,23,-0.51,-0.81,-0.3
3,2.25,22,-0.51,-0.81,-0.3
2,2.5,23,-0.3,0.81,-0.51
3,2.25,22,-0.3,0.81,-0.51
3,2.875,23,-0.3,0.81,-0.51
2,2.5,23,0.27,-0.72,-0.63
2,1.625,24,0.27,-0.72,-0.63
3,2.875,23,0.27,-0.72,-0.63
2,1.625,24,-0.17,0.7,0.7
3,2.875,23,-0.17,0.7,0.7
3,1.875,24,-0.17,0.7,0.7
2,1.625,24,0.24,-0.94,0.24
2,1.875,25,0.24,-0.94,0.24
3,1.875,24,0.24,-0.94,0.24
2,1.875,25,0.33,0.88,0.33
3,1.875,24,0.33,0.88,0.33
3,1.5,25,0.33,0.88,0.33
2,1.875,25,-0.34,-0.91,-0.23
2,1.625,26,-0.34,-0.91,-0.23
3,1.5,25,-0.34,-0.91,-0.23
2,1.625,26,0.0,0.99,-0.12
3,1.5,25,0.0,0.99,-0.12
3,1.625,26,0.0,0.99,-0.12
2,1.625,26,0.0,-0.66,0.75
2,2.75,27,0.0,-0.66,0.75
3,1.625,26,0.0,-0.66,0.75
2,2.75,27,0.49,0.78,-0.39
3,1.625,26,0.49,0.78,-0.39
3,2.125,27,0.49,0.78,-0.39
2,2.75,27,-0.52,-0.83,0.21
2,3.0,28,-0.52,-0.83,0.21
3,2.125,27,-0.52,-0.83,0.21
2,3.0,28,0.6,0.8,-0.1
3,2.125,27,0.6,0.8,-0.1
3,2.25,28,0.6,0.8,-0.1
2,3.0,28,-0.51,-0.67,0.54
2,3.8,29,-0.51,-0.67,0.54
3,2.25,28,-0.51,-0.67,0.54
2,3.8,29,0.81,0.58,-0.09
3,2.25,28,0.81,0.58,-0.09
3,2.4,29,0.81,0.58,-0.09
3,2.4,0,0.37,-0.92,0.09
3,2.5,1,0.37,-0.92,0.09
4,2.8,0,0.37,-0.92,0.09
3,2.5,1,0.54,0.48,0.69
4,2.8,0,0.54,0.48,0.69
4,1.375,1,0.54,0.48,0.69
3,2.5,1,-0.67,-0.59,-0.45
3,1.75,2,-0.67,-0.59,-0.45
4,1.375,1,-0.67,-0.59,-0.45
3,1.75,2,-0.11,0.89,-0.44
4,1.375,1,-0.11,0.89,-0.44
4,1.875,2,-0.11,0.89,-0.44
3,1.75,2,0.12,-0.96,-0.24
3,1.5,3,0.12,-0.96,-0.24
4,1.875,2,0.12,-0.96,-0.24
3,1.5,3,-0.24,0.96,0.12
4,1.875,2,-0.24,0.96,0.12
4,1.75,3,-0.24,0.96,0.12
3,1.5,3,0.18,-0.74,0.65
