x,y,z,n1,n2,n3
0.0,1.8,16.6,0.58,0.38,0.72
0.2,1.875,16.400000000000002,0.58,0.38,0.72
0.2,1.5,16.6,0.58,0.38,0.72
0.0,1.8,16.6,-0.73,-0.49,0.49
0.0,2.0,16.8,-0.73,-0.49,0.49
0.2,1.5,16.6,-0.73,-0.49,0.49
0.0,2.0,16.8,0.0,0.37,-0.93
0.2,1.5,16.6,0.0,0.37,-0.93
0.2,2.0,16.8,0.0,0.37,-0.93
0.0,2.0,16.8,0.0,-0.32,-0.95
0.0,1.4,17.0,0.0,-0.32,-0.95
0.2,2.0,16.8,0.0,-0.32,-0.95
0.0,1.4,17.0,-0.18,0.37,0.91
0.2,2.0,16.8,-0.18,0.37,0.91
0.2,1.5,17.0,-0.18,0.37,0.91
0.0,1.4,17.0,0.33,-0.67,-0.67
0.0,1.2,17.2,0.33,-0.67,-0.67
0.2,1.5,17.0,0.33,-0.67,-0.67
0.0,1.2,17.2,-0.15,0.62,0.77
